voterName,epicNumber,relativeName,relationType,age,gender,assemblyConstituency,partNumber,houseAddress,bloAssigned,category
Rabin Mukhopadhyay,EPIC-WB-2026-22301,Sunil Mukhopadhyay,Father,55,M,AC-164 Kolkata South,Part 05,19 Gariahat Road Kolkata,BLO-05 (D. Pal),Transliteration Match
Robin Mukherjee,EPIC-WB-2026-22302,Sunil Mukherjee,Father,55,M,AC-164 Kolkata South,Part 05,19 Gariahat Road Kolkata,BLO-05 (D. Pal),Transliteration Match
Rahul Sharma,EPIC-WB-2026-88301,Kailash Sharma,Father,28,M,AC-164 Kolkata South,Part 16,88 Hazra Road Kalighat,BLO-16 (S. Dutta),Age/Relative Mismatch
Sanjay Sen,EPIC-WB-2026-88302,Rajesh Sen,Husband,34,M,AC-164 Kolkata South,Part 08,14/1 Chetla Central Road,BLO-08 (K. Das),Demographic Inconsistency
Haripada Naskar,EPIC-WB-2026-88303,Ramprasad Naskar,Father,132,M,AC-164 Kolkata South,Part 03,5/B Kalighat Road,BLO-03 (B. Biswas),Age/Relative Mismatch
Sneha Das,EPIC-WB-2026-88304,Tarun Das,Father,16,F,AC-165 Jadavpur,Part 11,45 Garia Main Road,BLO-11 (M. Pal),Demographic Inconsistency
Bikash Chakraborty,EPIC-WB-2026-88305,Tarun Chakraborty,Father,54,M,AC-164 Kolkata South,Part 21,112 Southern Avenue,BLO-21 (S. Roy),Age/Relative Mismatch
Amitabh Mukherjee,EPIC-WB-2026-88306,Debasis Mukherjee,Father,82,M,AC-164 Kolkata South,Part 07,44 Lansdowne Road,BLO-07 (A. Ghosh),Demographic Inconsistency
Sunita Rani Das,EPIC-WB-2026-88307,Late Haradhan Das,Mother,41,F,AC-164 Kolkata South,Part 12,18 Lake Terrace,BLO-12 (A. Banerjee),Demographic Inconsistency
Vikram Malhotra,EPIC-WB-2026-88308,Rajesh Malhotra,Father,35,M,AC-165 Jadavpur,Part 18,N/A NULL 000 ST,BLO-18 (P. Roy),Demographic Inconsistency
M,EPIC-WB-2026-88309,B,Father,29,M,AC-164 Kolkata South,Part 02,7 Strand Road,BLO-02 (S. Mitra),Demographic Inconsistency
Subodh Kanti Ray,EPIC-WB-2026-88310,Minati Ray,Husband,62,M,AC-164 Kolkata South,Part 15,101 Rashbehari Avenue,BLO-15 (R. Ghosh),Demographic Inconsistency
Arjun Chakraborty,EPIC-WB-2026-99101,Somnath Chakraborty,Father,36,M,AC-164 Kolkata South,Part 10,24 Gariahat Road Ballygunge,BLO-10 (S. Ganguly),Photo Hash Duplicate
Arjun Kumar Chakraborty,EPIC-WB-2026-99102,Somnath Chakraborty,Father,36,M,AC-167 Maniktala,Part 32,112 Kankurgachi Road,BLO-32 (R. Nandi),Photo Hash Duplicate
Sarmistha Ganguly,EPIC-WB-2026-99201,Dipankar Ganguly,Husband,29,F,AC-164 Kolkata South,Part 18,75 Southern Avenue,BLO-18 (P. Roy),Photo Hash Duplicate
Sarmistha Roy,EPIC-WB-2026-99202,Alok Roy,Husband,29,F,AC-165 Jadavpur,Part 09,34 Prince Anwar Shah Road,BLO-09 (M. Roy),Photo Hash Duplicate
Pradeep Kumar Nandi,EPIC-WB-2026-99301,Bimal Nandi,Father,50,M,AC-164 Kolkata South,Part 15,12/1 Hazra Road,BLO-15 (R. Ghosh),Photo Hash Duplicate
Pradip Nandi,EPIC-WB-2026-99302,Bimal Kumar Nandi,Father,50,M,AC-164 Kolkata South,Part 15,12/1 Hazra Road Flat B,BLO-15 (R. Ghosh),Photo Hash Duplicate
Sudip Kumar Roy,EPIC-WB-2026-77401,Bhabesh Roy,Father,44,M,AC-164 Kolkata South,Part 12,42 Hazra Road Kalighat,BLO-12 (A. Banerjee),Deceased/Shifted Flag
Sudip Roy,EPIC-WB-2026-77402,Bhabesh Chandra Roy,Father,44,M,AC-160 Bidhannagar,Part 04,Block FE-19 Sector-III Salt Lake,BLO-04 (S. Majumdar),Deceased/Shifted Flag
Manorama Devi,EPIC-WB-2026-77501,Late Rameshwar Prasad,Husband,78,F,AC-164 Kolkata South,Part 05,15 Chetla Central Road,BLO-05 (D. Pal),Deceased/Shifted Flag
Manorama Devi Prasad,EPIC-WB-2026-77502,Late Rameshwar Prasad,Husband,78,F,AC-165 Jadavpur,Part 14,88 Prince Anwar Shah Road,BLO-14 (K. Sengupta),Deceased/Shifted Flag
Amalendu Bhattacharya,EPIC-WB-2026-77601,Tarapada Bhattacharya,Father,52,M,AC-164 Kolkata South,Part 22,108 Rashbehari Avenue,BLO-22 (T. Das),Deceased/Shifted Flag
Amalendu Bhattacharjee,EPIC-WB-2026-77602,Tarapada Bhattacharjee,Father,52,M,AC-159 Bhabanipur,Part 08,14 Ashutosh Mukherjee Road,BLO-08 (M. Bose),Deceased/Shifted Flag
